Parameter,mu,mu_star,sigma,mu_star_conf
plasma1.fb,37.23595621294938,92.39515321881598,441.9268332877385,51.998486195767704
tep_fep.to_SDS_Fraction[1],-44.219630783835,142.020053585606,700.6532790275761,79.4564266354657
i_iss.T,-28.85701281718332,85.65319782365667,410.6040296880961,41.876461465222896
blanket.TBR,-12.54415379544767,75.11039672506672,271.13543412999877,32.1353662399722
