Parameter,mu,mu_star,sigma,mu_star_conf
plasma1.fb,153.369140625,339.603515625,1938.2344000846274,236.08333212772285
tep_fep.to_SDS_Fraction[1],67.271484375,269.642578125,1680.1840893325991,228.1575078343451
i_iss.T,-158.748046875,258.205078125,1675.4923449647229,203.80990571516764
blanket.TBR,-50.185546875,285.228515625,1708.3407365921155,237.26077238235192
