Parameter,mu,mu_star,sigma,mu_star_conf
plasma1.fb,-23.77734375,1762.27734375,3604.8764623844336,368.6870009896159
tep_fep.to_SDS_Fraction[1],30.984375,2233.20703125,4227.755847912557,374.9651376086785
i_iss.T,372.1875,2006.56640625,3846.813085108855,416.6594802311063
blanket.TBR,72.544921875,1944.005859375,3937.5013358147244,407.00654927933476
