Parameter,mu,mu_star,sigma,mu_star_conf
plasma1.fb,-100.98046875,326.23828125,1926.2044873450002,230.88996315947293
tep_fep.to_SDS_Fraction[1],-1.3125,211.453125,1425.8905328827686,164.6153235039158
i_iss.T,-163.96875,286.3125,1692.2840004666161,189.75121955952366
blanket.TBR,68.2265625,228.76171875,1641.9388859914618,194.32039806491207
