Parameter,mu,mu_star,sigma,mu_star_conf
plasma1.fb,1.5842192449873727,140.46563606743433,690.1547511559065,78.09369290245021
tep_fep.to_SDS_Fraction[1],-62.4371910941505,127.65273672375147,814.0654474974505,97.88282827642553
i_iss.T,-33.34844521046816,85.64495968252353,383.97487138254104,52.19910904808043
blanket.TBR,12.746610190936885,72.11893019217983,276.9802982834441,37.89437633046498
