Parameter,mu,mu_star,sigma,mu_star_conf
plasma1.fb,212.138671875,2114.830078125,4131.373963796295,446.8038800677204
tep_fep.to_SDS_Fraction[1],-34.060546875,1993.564453125,3924.4354487515448,413.96837530382777
i_iss.T,219.73828125,1795.171875,3640.2507403753534,372.0722882713818
blanket.TBR,-29.53125,1916.63671875,3822.348473124867,402.168054034863
