plasma1.fb,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory,Required_TBR,Required_Self_Sufficiency_Time
0.04,7990.0,115.0,2422.6516476879215,1.021484375,6226.0
0.06,6790.0,112.0,1996.96971826068,1.015625,5655.0
0.08,6251.0,110.0,1782.162991610191,1.0126953125,5340.0
0.1,5943.0,109.0,1651.702695906818,1.009765625,7850.0
0.12,5744.0,108.0,1563.446512747817,1.009765625,4997.0
0.14,5603.0,108.0,1499.34993752463,1.009765625,3961.0
0.16,5499.0,108.0,1450.375432118719,1.0068359375,9010.0
