Parameter,S1,ST,S1_conf,ST_conf
plasma1.fb,-0.03252284362375828,0.13791200150347574,0.06474974216565742,0.03328101337469988
tep_fep.to_SDS_Fraction[1],0.004736907509468881,0.22206393502297342,0.0741599916653939,0.05246854579908437
i_iss.T,0.05296694821592433,0.24623411149950225,0.06940767501551408,0.051531060054022644
blanket.TBR,0.04589371047427594,0.2406237835675553,0.0738729380114694,0.05265696040016789
