Parameter,S1,ST,S1_conf,ST_conf
plasma1.fb,-0.03627730337956592,0.11579903235774941,0.07058085983412567,0.035394064947583084
tep_fep.to_SDS_Fraction[1],0.004647623174352494,0.22355099328204742,0.0754110884455542,0.06637863330880488
i_iss.T,0.09026978764477049,0.22775953818215833,0.06784644887875453,0.060039523120352586
blanket.TBR,0.09524313434428439,0.21317001616976886,0.06407811759811904,0.05896131026234503
