Parameter,S1,ST
plasma1.fb,0.038769853431916836,0.8612563977280285
tep_fep.to_SDS_Fraction[1],0.02339646848417659,0.9085688528752935
i_iss.T,0.03663908607271411,0.7939723890639279
blanket.TBR,0.0419411117921643,0.8495162774753746
