plasma1.fb,tep_fep.to_SDS_Fraction[1],i_iss.T,blanket.TBR,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory
0.05192,0.8558,7.73118,1.20109,2841.0,91.0,1592.315747041448
0.05196,0.67207,8.29528,1.13637,5037.0,102.0,2297.6517665344695
0.05273,0.66824,8.32972,1.13551,5065.0,102.0,2297.482862406573
0.05277,0.35936,6.01882,1.11453,6933.0,108.0,2812.273200258132
0.05278,0.38986,11.58202,1.2167,3945.0,91.0,3889.773703932995
0.05295,0.15956,5.5354,1.11338,7576.0,109.0,3151.078884443388
0.05314,0.14473,4.3396,1.05693,,142.0,2856.4592303697714
0.05331,0.93655,7.48048,1.06299,9965.0,128.0,1368.101685393885
0.05333,0.90866,7.85618,1.20578,2650.0,90.0,1399.724584431779
0.05336,0.65817,8.48278,1.08793,8461.0,116.0,2362.3591523161635
0.05414,0.65433,8.51722,1.08707,8542.0,117.0,2361.9593734937766
0.05417,0.57491,6.14382,1.11922,5853.0,106.0,2260.4936917017562
0.05419,0.37595,10.48048,1.21201,3895.0,91.0,3641.8618725238075
0.05436,0.38902,9.6604,1.23193,3409.0,88.0,3402.6623165150654
0.05455,0.37419,8.4646,1.21162,3654.0,90.0,3200.411521239837
0.05472,0.92264,9.41798,1.0583,,131.0,1461.342914872086
0.05473,0.69311,7.98118,1.21047,3003.0,90.0,2101.3534794050584
0.05477,0.64426,8.67028,1.06051,,132.0,2418.4795765078143
0.05554,0.64043,8.70472,1.06137,,131.0,2416.9202092486994
0.05558,0.79045,6.26882,1.12391,4911.0,104.0,1695.320581101329
0.0556,0.36205,8.54298,1.20732,3742.0,91.0,3217.2584659858985
0.05577,0.61847,10.2146,1.07724,,121.0,2666.004422719942
0.05595,0.60364,11.4104,1.1337,5633.0,103.0,2842.394770189768
0.05612,0.90873,11.35548,1.05361,,135.0,1567.997222364764
0.05614,0.47756,8.10618,1.21515,3315.0,90.0,2751.3236374722283
0.05617,0.63035,8.85778,1.10894,6610.0,109.0,2423.5018864763174
0.05695,0.62652,8.89222,1.10981,6537.0,108.0,2421.8334767955425
0.05699,0.974,6.39382,1.1286,4143.0,103.0,1175.376796400768
0.057,0.34814,6.60548,1.20264,3584.0,91.0,2796.613785291876
0.05717,0.84792,6.0896,1.17745,3159.0,94.0,1493.178908294618
0.05736,0.83309,7.2854,1.12099,4932.0,105.0,1621.947672885281
0.05753,0.89483,10.70702,1.05107,,138.0,1596.91215365496
0.05755,0.26202,8.23118,1.21984,3601.0,89.0,3372.4169510324446
0.05758,0.61645,9.04528,1.15738,4369.0,98.0,2435.057783381685
0.05836,0.61262,9.07972,1.15824,4337.0,98.0,2433.4021858164424
0.05839,0.75845,6.51882,1.13328,4575.0,102.0,1760.431650782745
0.05841,0.33423,4.66798,1.19795,3420.0,92.0,2379.3137934155275
0.05858,0.90262,6.0354,1.16787,3231.0,95.0,1342.939731575201
0.05877,0.91745,4.8396,1.22432,2327.0,88.0,1248.168446506248
0.05894,0.88092,8.76952,1.05576,,133.0,1564.299295580493
0.05895,0.15353,8.35618,1.22453,3683.0,89.0,3662.2420457326502
0.05899,0.60254,9.23278,1.20582,3270.0,91.0,2450.309842812231
0.05976,0.59871,9.26722,1.20668,3252.0,90.0,2448.8614944932706
0.0598,0.54291,6.64382,1.13797,4933.0,101.0,2287.0466427102447
