Parameter,S1,ST
plasma1.fb,0.032732194619238396,0.860816035369238
tep_fep.to_SDS_Fraction[1],0.011531067535058413,0.8737356420423834
i_iss.T,0.02183545714827021,0.9020371599955368
blanket.TBR,0.012198575557021595,0.8677772015663795
