Parameter,S1,ST
plasma1.fb,0.020993936048690223,0.8300715137437604
tep_fep.to_SDS_Fraction[1],0.013460850862961123,0.8913712440582653
i_iss.T,0.03191323520887121,0.9094568898475748
blanket.TBR,0.022723806725423318,0.8594709789139497
