Parameter,S1,ST,S1_conf,ST_conf
plasma1.fb,-0.03252284362375828,0.13791200150347574,0.06287661177567021,0.04266254022120809
tep_fep.to_SDS_Fraction[1],0.004736907509468881,0.22206393502297342,0.07309529569015538,0.056578665962177664
i_iss.T,0.05296694821592433,0.24623411149950225,0.06528188855173724,0.04771915381571607
blanket.TBR,0.04589371047427594,0.2406237835675553,0.07362120230779443,0.05382925050642165
