i_iss.T,Doubling_Time,Self_Sufficiency_Time,Startup_Inventory,Required_TBR,Required_Self_Sufficiency_Time
2.0,6393.0,112.0,1686.523947249136,1.015625,5655.0
4.0,6790.0,112.0,1996.96971826068,1.015625,5655.0
6.0,7188.0,112.0,2307.4094721317438,1.015625,5655.0
8.0,7585.0,112.0,2617.8401448109917,1.015625,5655.0
10.0,7984.0,112.0,2928.2369629983014,1.015625,5655.0
12.0,8382.0,112.0,3238.4683803064827,1.015625,5655.0
