tep_fep.to_SDS_Fraction[1],Required_TBR,Required_Self_Sufficiency_Time
0.0,1.021484375,4519.0
0.1,1.0185546875,7706.0
0.2,1.0185546875,5630.0
0.3,1.0185546875,4533.0
0.4,1.015625,7771.0
0.5,1.015625,5655.0
0.6,1.015625,4547.0
0.7,1.0126953125,7838.0
0.8,1.0126953125,5680.0
0.9,1.0126953125,4561.0
