time,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.0,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.1,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.2,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.3,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.4,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.5,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.6,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.7,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.8,sds.I[1]&tep_fep.to_SDS_Fraction[1]=0.9
0.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
1.0,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533,2679.652800062533
1.208062546643624,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294
1.208062546643624,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294,2613.000803497294
2.0,2359.307650340586,2375.639114255245,2391.970578269063,2408.302042245641,2424.633506472606,2440.964978909238,2457.296445014592,2473.627899821646,2489.959322520514,2506.290838009309
2.725199156225091,2126.99490057959,2147.807487321621,2170.011852642562,2193.906399686872,2228.046812217184,2275.317369286045,2322.587933090393,2369.858544281396,2417.12906129897,2464.3996265052
2.725199156225091,2126.99490057959,2147.807487321621,2170.011852642562,2193.906399686872,2219.902570437513,2248.588530850717,2280.843120382722,2318.05148699117,2362.551930493267,2423.581841734083
3.0,2041.556818497276,2087.653936387043,2134.07031127542,2180.860148451225,2219.902570437513,2248.588530850717,2280.843120382722,2318.05148699117,2362.551930493267,2418.658359017782
4.0,1772.32261657622,1841.148095428159,1910.463574640161,1980.378847512707,2051.036875093632,2122.625163647457,2195.388334906168,2269.633312887986,2345.688398828379,2418.658359017782
5.0,1559.659821729147,1646.269025751681,1733.501249587843,1821.509553337086,1910.500472761348,2000.759219004485,2092.687388099218,2186.86067012685,2284.106944386254,2385.548977144678
6.0,1391.754640032985,1492.226429503196,1593.424815369701,1695.536468030853,1798.817704199603,1903.62961002315,2010.496041672031,2120.202062945233,2233.964558399599,2353.714608313309
7.0,1258.800435541976,1370.07163279995,1482.149950448216,1595.248597915281,1709.66229985824,1825.811481307861,1944.315096068934,2066.121190776019,2192.749610115518,2326.761080137247
8.0,1153.078138954387,1272.761921598184,1393.315703467523,1514.972837169958,1638.058261938912,1763.039061268668,1890.607807425541,2021.839382494021,2158.489728497541,2303.609922994257
9.0,1068.565100214858,1194.802498521481,1321.958875294585,1450.283357440208,1580.123134212389,1711.985523027717,1846.615539881999,1985.189385994993,2129.64659231342,2283.420162143989
10.0,1000.569863909494,1131.912954376935,1264.213032493847,1397.732284568039,1532.834220162323,1670.057283591837,1810.188864464229,1954.482987090396,2105.021837008437,2265.536699833735
11.0,945.4383671502958,1080.759873341939,1217.067566645658,1354.634200523184,1493.836811662732,1635.236488117717,1779.654300235854,1928.405311586198,2083.682622443924,2249.449318529836
12.0,900.3245523916181,1038.746472978627,1178.177296499763,1318.897909548394,1461.297522577186,1605.950356127792,1753.70834445645,1905.932242187569,2064.901993380595,2234.760699725073
13.0,863.0121126969934,1003.850669205586,1145.715872391994,1288.89486617299,1433.784976734892,1580.974500920841,1731.335959879728,1886.266141083733,2048.114078546793,2221.161414758866
14.0,831.775327815953,974.4979063840964,1118.26179797749,1263.357333681824,1410.188442801365,1559.355547873676,1711.746589892935,1868.786122133292,2032.878127468951,2208.410490587943
15.0,805.2701515999719,949.4620243038364,1094.70696416377,1241.296953121601,1389.643189829213,1540.350802963605,1694.32455437172,1853.008939217458,2018.850541929108,2196.320262318703
16.0,782.4498239632728,927.7880134312348,1074.188488078416,1221.94438285273,1371.470207461142,1523.382007708137,1678.590433404313,1838.557995365623,2005.763907124192,2184.744597794379
17.0,762.4992172476716,908.732171669991,1056.034441358528,1204.700405679041,1355.145957079041,1507.998504827442,1664.170789741756,1825.140124373356,1993.410160995033,2173.569773133401
18.0,744.7835134705551,891.7153599591309,1039.721846972728,1189.09860272371,1340.266874964555,1493.849499853114,1650.774981683142,1812.526646155327,1981.627220369247,2162.707035274581
19.0,728.8083013061946,876.2864760190572,1024.843391608583,1174.775831440647,1326.50853032448,1480.662060203764,1638.176700127744,1800.539372515843,1970.288780768087,2152.087332010686
20.0,714.1885664545107,862.0942724337824,1011.081804391724,1161.449078588165,1313.621512194984,1468.223713438111,1626.199207151758,1789.040035079787,1959.296535869743,2141.656858770435
21.0,700.6244700645068,848.8651856082002,998.1900516110376,1148.898010605385,1301.417440558782,1456.369924450932,1614.705122404247,1777.920205269408,1948.573927876078,2131.373788470743
22.0,687.8824885526947,836.386157061568,985.9757306507208,1136.951112432858,1289.742637929966,1444.970465003167,1603.587529094867,1767.095494469667,1938.061324835187,2121.205546418951
23.0,675.7808686429032,824.4913271732022,974.2890112185452,1125.474740956055,1278.475888268936,1433.924090877161,1592.763174886455,1756.501110329121,1927.712272618046,2111.126745538552
24.0,664.1783494393169,813.0518320425706,963.0132246650892,1114.36481100068,1267.533896144198,1423.153183971328,1582.167237877677,1746.087031288264,1917.490613713611,2101.117603434457
